year,sex,age,pop
1990,Females,70,757225.6714969999
1990,Females,75,639759.9486809999
1990,Females,80,436211.801022
1990,Females,85,221415.66616599998
1990,Females,90,64796.383919
1990,Females,95,14254.440741000002
1990,Males,0,201912.13187900002
1990,Males,1,647365.1177920001
1990,Males,5,1291925.328292
1990,Males,10,1616743.0115520002
1990,Males,15,1702295.921688
1990,Males,20,1649134.2162780003
1990,Males,25,1564148.4091689999
1990,Males,30,1415845.745281
1990,Males,35,1241609.1967210001
1990,Males,40,1205268.5654890002
1990,Males,45,1079493.856399
1990,Males,50,968390.741211
1990,Males,55,1093626.267057
1990,Males,60,989080.865792
1990,Males,65,829690.645605
1990,Males,70,543055.5600149999
1990,Males,75,410054.178609
1990,Males,80,247915.141502
1990,Males,85,104751.93539800002
1990,Males,90,25485.873716
1990,Males,95,4745.169961
1991,Females,0,187646.67187500003
1991,Females,1,594005.609375
1991,Females,5,1170291.671875
1991,Females,10,1485993.296875
1991,Females,15,1635441.109375
1991,Females,20,1590988.96875
1991,Females,25,1546483.75
1991,Females,30,1439035.375
1991,Females,35,1262376.4375000002
1991,Females,40,1210211.203125
1991,Females,45,1117622.625
1991,Females,50,990423.4843750001
1991,Females,55,1156611.046875
1991,Females,60,1105837.875
1991,Females,65,997363.859375
1991,Females,70,782283.703125
1991,Females,75,641682.140625
1991,Females,80,449703.140625
1991,Females,85,229378.40625
1991,Females,90,70455.90625
1991,Females,95,15271.5
1991,Males,0,198765.59375
1991,Males,1,626859.4375
1991,Males,5,1231264.390625
1991,Males,10,1560488.734375
1991,Males,15,1711145.203125
1991,Males,20,1657385.421875
1991,Males,25,1585478.828125
1991,Males,30,1451582.78125
1991,Males,35,1266213.703125
1991,Males,40,1205231.203125
1991,Males,45,1102316.53125
1991,Males,50,952382.21875
1991,Males,55,1086912.765625
1991,Males,60,1003820.25
1991,Males,65,850306.296875
1991,Males,70,572631.0625
1991,Males,75,410421.6875
1991,Males,80,254636.53125
1991,Males,85,108890.78125
1991,Males,90,27642.46875
1991,Males,95,5019.078125
1992,Females,0,188928.67055100002
1992,Females,1,584932.6875
1992,Females,5,1121535.125
1992,Females,10,1430968
1992,Females,15,1639849.6875
1992,Females,20,1603507.0625
1992,Females,25,1576483.875
1992,Females,30,1468273.9375
1992,Females,35,1296496.5625
1992,Females,40,1223513.625
1992,Females,45,1158546
1992,Females,50,962677.25
1992,Females,55,1144472.1875
1992,Females,60,1120840.6875
1992,Females,65,1009977.6875
1992,Females,70,814724.9375
1992,Females,75,643348.3125
1992,Females,80,464175.1875
1992,Females,85,238813.4375
1992,Females,90,76232.3125
1992,Females,95,15358.125000000002
1992,Males,0,201608.572032
1992,Males,1,618112
1992,Males,5,1179754.6875
1992,Males,10,1503940.8125
1992,Males,15,1714739.625
1992,Males,20,1674073.6875
1992,Males,25,1619309.0625
1992,Males,30,1482366.8125
1992,Males,35,1298848.875
1992,Males,40,1220819.0625
1992,Males,45,1141330.1875
1992,Males,50,932536
1992,Males,55,1071657.3125
1992,Males,60,1019182.0625
1992,Males,65,862850.5
1992,Males,70,610872.25
1992,Males,75,410139.6875
1992,Males,80,261825.4375
1992,Males,85,113547.875
1992,Males,90,30356.125000000004
1992,Males,95,5015.6875
1993,Females,0,189081.33307999998
1993,Females,1,579540.640625
1993,Females,5,1079465.328125
1993,Females,10,1371295.90625
1993,Females,15,1633817.234375
1993,Females,20,1617436.90625
1993,Females,25,1599577.015625
1993,Females,30,1493687.15625
1993,Females,35,1335737.421875
1993,Females,40,1229365
1993,Females,45,1192613.203125
1993,Females,50,985235.234375
1993,Females,55,1100235.1875
1993,Females,60,1137297.90625
1993,Females,65,1020764.453125
1993,Females,70,849262.5156250001
1993,Females,75,647302.453125
1993,Females,80,478407.328125
1993,Females,85,248875.75
1993,Females,90,83228.046875
1993,Females,95,15526.515625
1993,Males,0,201547.19061599998
1993,Males,1,613240.765625
1993,Males,5,1136842.34375
1993,Males,10,1440735.53125
1993,Males,15,1710374.03125
1993,Males,20,1690625.09375
1993,Males,25,1645064.28125
1993,Males,30,1510414.609375
1993,Males,35,1336938.765625
1993,Males,40,1228311.28125
1993,Males,45,1174649.359375
1993,Males,50,958484.3125
1993,Males,55,1029913.7812500001
1993,Males,60,1036039.828125
1993,Males,65,874794.75
1993,Males,70,649590.1875
1993,Males,75,411391.20312499994
